"Lecture","FileName","Url"
"Lecture 08 - Explainable AI and Adversarial Attack","attack_v3.pdf","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/attack_v3.pdf"
"Lecture 08 - Explainable AI and Adversarial Attack","attack_v3.pptx","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/attack_v3.pptx"
"Lecture 07 - Self-Supervised Learning","auto_v8.pdf","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/auto_v8.pdf"
"Lecture 07 - Self-Supervised Learning","auto_v8.pptx","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/auto_v8.pptx"
"Lecture 07 - Self-Supervised Learning","bert_v8.pdf","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/bert_v8.pdf"
"Lecture 07 - Self-Supervised Learning","bert_v8.pptx","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/bert_v8.pptx"
"Lecture 02 - Deep Learning","classification_v2.pdf","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/classification_v2.pdf"
"Lecture 02 - Deep Learning","classification_v2.pptx","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/classification_v2.pptx"
"Lecture 03 - CNN and Self-Attention","cnn_v4.pdf","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/cnn_v4.pdf"
"Lecture 03 - CNN and Self-Attention","cnn_v4.pptx","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/cnn_v4.pptx"
"Lecture 09 - Domain Adaptation","da_v6.pdf","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/da_v6.pdf"
"Lecture 09 - Domain Adaptation","da_v6.pptx","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/da_v6.pptx"
"Lecture 10 - Reinforcement Learning","drl_v5.pdf","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/drl_v5.pdf"
"Lecture 10 - Reinforcement Learning","drl_v5.pptx","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/drl_v5.pptx"
"Lecture 06 - Generative Model","gan_v10.pdf","https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/gan_v10.pdf"
